Employer,"Doing Business As","Account Status","Date Enrolled","Date Terminated","Workforce Size","Number of Hiring Sites","Hiring Site Locations (by state)"
"A.D. Whittaker Construction, Inc.","A.D. Whittaker Construction, Inc.",Open,03/10/2022,,"5 to 9",1,VA
"A.E.M. INC","Interstate Moving Relocation Logistics",Open,09/25/2019,,"100 to 499",3,"MD, VA"
"A.H.Bland Enterprises LLC",,Open,04/17/2019,,"20 to 99",2,"MD, VA"
"A.J. Dwoskin & Associates, Inc.","A.J. Dwoskin & Associates, Inc.",Open,10/04/2010,,"20 to 99",1,VA
"A.Stucki Company",,Open,11/16/2018,,"500 to 999",12,"AL, IL, KY, MO, OH, PA, TX, VA"
"A.T. Kearney Public Sector and Defense Services, LLC",,Open,06/23/2010,,"20 to 99",1,VA
"A.T. Kearney, Inc.",,Open,01/20/2015,,"100 to 499",9,"CA, GA, IL, MI, NY, TX, VA"
"A/C CONTROL INC","A/C CONTROL INC",Open,01/04/2012,,"10 to 19",1,VA
"A/C SHEETMETAL FABRICATORS INC",,Open,01/10/2012,,"10 to 19",1,VA
"A/C SHEETMETAL FABRICATORS INC","A/C SHEETMETAL FABRICATORS INC",Open,01/04/2012,,"10 to 19",1,VA
"A/E Data Integration, Inc",A/EDI,Open,12/06/2010,,"5 to 9",1,VA
"A1 Precast Inc","A1 Precast Inc",Open,04/07/2021,,"5 to 9",1,VA
"A1 Shipping LLC",,Open,08/27/2021,,"5 to 9",1,VA
"A1 Shipping LLC",,Open,04/20/2023,,"20 to 99",1,VA
"A10 Consulting LLC",,Open,06/17/2013,,"5 to 9",1,VA
"A3 Logistics Inc",,Open,08/20/2020,,"20 to 99",1,VA
"A3 Logistics inc",,Open,09/11/2020,,"20 to 99",2,VA
"A4SAFE Inc.",,Open,04/20/2020,,"10 to 19",1,VA
"AA&JS Inc.",,Open,05/15/2006,,"5 to 9",1,VA
"AAA Club Alliance Inc.","AAA Club Alliance Inc.",Open,04/12/2017,,"2,500 to 4,999",220,"CA, CT, DC, DE, GA, IN, KS, KY, MD, NJ, OH, OK, PA, VA, WV"
